article_id,source_name,title,is_about_climate_change,is_skeptical_about_climate_change,cost_frame,opportunity_frame,overarching_sentiment,bias,country,adfontes_bias
89541,International Business Times,UN Chief Urges World To 'Stop The Madness' Of Climate Change,True,False,True,False,cost,left-center,us,Middle
89570,CNA,China expands climate change surveillance on Himalayan peak,True,False,True,True,cost,least biased,sg,Middle
89577,CNA,CNA wins gold in Best Use of Video category at WAN-IFRA Asian Digital Media Awards 2023,True,False,True,True,balanced,least biased,sg,Middle
89586,International Business Times,"At Least 10 Dead, 102 Missing In India Glacial Lake Burst",True,False,True,False,cost,left-center,us,Middle
89656,International Business Times,"India Flood Toll Hits 56, Army Warns On Stray Munitions",True,False,True,False,cost,left-center,us,Middle
89657,International Business Times,Indian Flood Toll Up To 77 As Waters Recede,True,False,True,True,cost,left-center,us,Middle
89707,The Punch,"10 die, 82 missing in India lake burst",True,False,True,False,cost,left-center,ng,
89765,The Punch,"10 die, 102 missing in India glacial lake burst",True,False,True,False,cost,left-center,ng,
89887,Al Jazeera English,Minor parties could hold key to New Zealand election,True,False,True,True,cost,left-center,us,Skews Left
89933,Phys.Org,Calculating ongoing financial costs of climate change,True,False,True,False,cost,pro-science,gb,Middle
89999,Phys.Org,Future-proofing deep-sea coral conservation in Aotearoa,True,False,True,True,cost,pro-science,gb,Middle
90017,Phys.Org,Natural disasters vs. natural hazards: Risk-mitigation public campaigns might need rewording,True,False,True,True,cost,pro-science,gb,Middle
90035,Phys.Org,Climate adaptation projects sometimes exacerbate the problems they try to solve—a new tool hopes to correct that,True,False,True,True,cost,pro-science,gb,Middle
90093,Euronews,'Burp tax' causes outrage in New Zealand - but could this impact the elections?,True,False,True,True,cost,left-center,eu,Middle
90140,Phys.Org,Q&A: The new landscape of corporate climate disclosure,True,False,True,True,cost,pro-science,gb,Middle
90210,Phys.Org,Oman revives CO2-busting mangroves as climate threat lurks,True,False,True,True,cost,pro-science,gb,Middle
90242,International Business Times,Oman Revives CO2-busting Mangroves As Climate Threat Lurks,True,False,True,True,cost,left-center,us,Middle
90246,Phys.Org,Warming beaches threaten Yemen sea turtles' future,True,False,True,True,cost,pro-science,gb,Middle
90262,Phys.Org,The clock is ticking. Can 'scientific diplomacy' save the world's hottest sea?,True,False,True,True,cost,pro-science,gb,Middle
90477,International Business Times,Warming Beaches Threaten Yemen Sea Turtles' Future,True,False,True,True,cost,left-center,us,Middle
90690,Al Jazeera English,"Over a year after Pakistan floods, survivors battle climate anxiety",True,False,True,False,cost,left-center,us,Skews Left
90712,Phys.Org,New study reveals the influence of natural climate drivers on extreme monsoons in Pakistan,True,False,True,True,cost,pro-science,gb,Middle
90756,Phys.Org,Research offers novel method to analyze implications of large-scale flood adaptation,True,False,True,True,cost,pro-science,gb,Middle
90819,Al Jazeera English,Peace has not stopped Afghanistan’s depopulation,True,False,True,False,cost,left-center,us,Skews Left
91183,Forbes,‘We Are Afraid’: Scientists Issue New Warning As World Enters ‘Uncharted Climate Territory’,True,False,True,False,cost,right-center,us,Middle
91447,Phys.Org,How llamas help mitigate effects of climate change,True,False,True,True,balanced,pro-science,gb,Middle
91515,International Business Times,"In Peru, A Small Carbon Footprint Is Not A Choice",True,False,True,True,cost,left-center,us,Middle
91606,Phys.Org,75% of exclusive hardwood may be illegally harvested,True,False,True,False,cost,pro-science,gb,Middle
91734,Forbes,Fighting Food Inflation Through Supply Chain Sustainability,True,False,True,True,cost,right-center,us,Middle
92044,Phys.Org,Using mathematical modeling to save coral reefs,True,False,True,True,cost,pro-science,gb,Middle
91811,NPR,The Philippines' capital is running out of water. Is building a dam the solution?,True,False,True,False,cost,left-center,us,Middle
91835,Time,Millions of Children Displaced Due To Extreme Weather. Climate Change Will Make It Worse,True,False,True,True,cost,left-center,us,Skews Left
91985,Phys.Org,Millions of children are displaced due to extreme weather events. Climate change will make it worse,True,False,True,True,cost,pro-science,gb,Middle
92155,Phys.Org,"Warming and habitat loss shrink pollinator numbers. That may hit coffee, cocoa crops hard in future",True,False,True,False,cost,pro-science,gb,Middle
92439,CNN,"Floods, storms and fires displaced 20,000 children every day over past six years, UNICEF report finds",True,False,True,True,cost,left-center,us,Skews Left
92518,Globalsecurity.org,UN: Millions of children in Asia displaced by weather-related events,True,False,True,False,cost,least biased,us,
92645,CNN,A climate researcher risks losing university post for refusing to fly home,True,False,True,True,cost,left-center,us,Skews Left
92848,Euronews,Polish election: What matters most to young voters?,True,False,True,True,balanced,left-center,eu,Middle
92903,Phys.Org,Examining the double-edged methane emissions from dairy cattle farms,True,False,True,True,cost,pro-science,gb,Middle
92933,Phys.Org,Japan sees hottest September since records began,True,False,True,True,cost,pro-science,gb,Middle
93348,NPR,Have an heirloom ruined by climate disaster? There's a hotline to call for help,True,False,True,True,cost,left-center,us,Middle
93408,NPR,Scientists looked at nearly every known amphibian type. They're not doing great.,True,False,True,False,cost,left-center,us,Middle
93424,Business Insider,America's cities are vying for a hot new title: best place to ride out the coming dystopia,True,False,True,True,cost,left-center,us,Middle
93742,Marketscreener.com,Ventas Reports 2023 Third Quarter Results,True,False,True,False,cost,least biased,fr,
94224,GlobeNewswire,Sanoma’s climate targets approved by the Science Based Targets initiative,True,False,True,True,cost,least biased,us,
95120,Forbes,"Manufacturing, Workforce And Democracy: A Conversation With Jay Timmons, President And CEO Of The National Association Of Manufacturers",True,False,True,True,balanced,right-center,us,Middle
95452,BBC News,"Food firms must cut sugar and salt, says Wales' health chief",True,False,True,False,cost,left-center,gb,Middle
95465,Forbes,Pollination Cultivates Climate Resilient Pathway For Regenerative Agriculture,True,False,True,True,opportunity,right-center,us,Middle
95472,Phys.Org,"Climate change is affecting bears, and humans need to learn more to avoid conflicts",True,False,True,True,balanced,pro-science,gb,Middle
95498,Phys.Org,UN sounds warning on climate change health threat,True,False,True,True,cost,pro-science,gb,Middle
95544,Phys.Org,Researchers argue that reducing greenhouse gas emissions is not enough to combat climate change,True,False,True,True,cost,pro-science,gb,Middle
95674,Forbes,Voluntary Carbon Market Scrutiny: Raising Ambition Or Killing It?,True,False,True,True,cost,right-center,us,Middle
96417,Phys.Org,How a climate model can illustrate and explain ice-age climate variability,True,False,,,balanced,pro-science,gb,Middle
96419,Phys.Org,Climate experts warn of fossil fuel tactics at COP28,True,False,True,True,cost,pro-science,gb,Middle
96422,Phys.Org,"Forests are vital to protect the climate, yet the world is falling far behind its targets",True,False,True,True,cost,pro-science,gb,Middle
96427,Phys.Org,Study projects more water shortfalls in Schuylkill watershed in next 20 years due to climate change,True,False,True,True,cost,pro-science,gb,Middle
96430,Phys.Org,Here are the places that could become too hot for humans due to climate change,True,False,True,True,cost,pro-science,gb,Middle
96431,Phys.Org,New map reveals the effects of 20th century land-use and climate change on Britain's wild species,True,False,True,True,balanced,pro-science,gb,Middle
96433,Phys.Org,Damaging thunderstorm winds rising in central US: Research finds five-fold increase,True,False,True,True,cost,pro-science,gb,Middle
96445,Phys.Org,Model to illustrate scenarios for Colorado River water use,True,False,True,True,balanced,pro-science,gb,Middle
96470,NPR,"As climate threats grow, poor countries still aren't getting enough money to prepare",True,False,True,True,cost,left-center,us,Middle
96492,Phys.Org,Cheap electricity and jobs keep Serbia tied to coal,True,False,True,True,cost,pro-science,gb,Middle
96483,Phys.Org,Singapore's coasts are historically more resilient against sea-level rise than previously thought,True,False,True,True,opportunity,pro-science,gb,Middle
96486,The Indian Express,UNESCO names Kozhikode ‘city of literature’: What this tag means,True,False,False,False,,left-center,in,Middle
96541,CNA,Explainer-Can solar geoengineering stop global warming?,True,False,True,False,cost,least biased,sg,Middle
96624,Marketscreener.com,Global warming will reach 1.5C threshold this decade -report,True,False,True,False,cost,least biased,fr,
96625,ABC News,Cover crops help the climate and environment but most farmers say no. Many fear losing money,True,False,True,True,cost,left-center,us,Middle
96671,GlobeNewswire,David Harris Jr. Appointed as Global Warming Solutions' Spokesperson to Power the Planet's Transition to Clean Energy,True,False,True,True,opportunity,least biased,us,
96683,The Times of India,UAE convenes pre-COP talks to garner backing for climate agenda,True,False,True,True,balanced,right-center,in,Middle
96685,Marketscreener.com,"Global Warming Solutions, Inc. Retracts It's Earlier Announcement.",True,False,True,True,opportunity,least biased,fr,
96689,GlobeNewswire,cBrain is well on track with the 2023-2025 growth plan,True,False,True,True,opportunity,least biased,us,
96691,The Times of India,"Southern Antarctic waters found to absorb as much heat as Atlantic, Pacific and Indian Ocean combined",True,False,True,True,cost,right-center,in,Middle
96693,Marketscreener.com,CBrain A/S : is well on track with the 2023-2025 growth plan,True,False,True,True,opportunity,least biased,fr,
96719,Gizmodo.com,Study Reveals Shrinking Timeframe to Contain Global Warming to 1.5 Degrees,True,False,True,True,cost,left,us,Skews Left
